Ref_Date,GEO,GROUP,Vector,Coordinate,Value
2006/2007,Canada,Education,v62427112,1.1,3373.00000000
2007/2008,Canada,Education,v62427112,1.1,3545.00000000
2008/2009,Canada,Education,v62427112,1.1,3652.00000000
2009/2010,Canada,Education,v62427112,1.1,3739.00000000
2010/2011,Canada,Education,v62427112,1.1,3850.00000000
2011/2012,Canada,Education,v62427112,1.1,3804.00000000
2012/2013,Canada,Education,v62427112,1.1,4273.00000000
2013/2014,Canada,Education,v62427112,1.1,4394.00000000
2014/2015,Canada,Education,v62427112,1.1,4482.00000000
2015/2016,Canada,Education,v62427112,1.1,4514.00000000
2016/2017,Canada,Education,v62427112,1.1,4580.00000000
2006/2007,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,3991.00000000
2007/2008,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4239.00000000
2008/2009,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4377.00000000
2009/2010,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4592.00000000
2010/2011,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4748.00000000
2011/2012,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,4591.00000000
2012/2013,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5002.00000000
2013/2014,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5138.00000000
2014/2015,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5211.00000000
2015/2016,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5464.00000000
2016/2017,Canada,"Visual and performing arts, and communications technologies",v62427121,1.2,5640.00000000
2006/2007,Canada,Humanities,v62427122,1.3,4336.00000000
2007/2008,Canada,Humanities,v62427122,1.3,4342.00000000
2008/2009,Canada,Humanities,v62427122,1.3,4364.00000000
2009/2010,Canada,Humanities,v62427122,1.3,4525.00000000
2010/2011,Canada,Humanities,v62427122,1.3,4638.00000000
2011/2012,Canada,Humanities,v62427122,1.3,4769.00000000
2012/2013,Canada,Humanities,v62427122,1.3,4941.00000000
2013/2014,Canada,Humanities,v62427122,1.3,5023.00000000
2014/2015,Canada,Humanities,v62427122,1.3,5230.00000000
2015/2016,Canada,Humanities,v62427122,1.3,5346.00000000
2016/2017,Canada,Humanities,v62427122,1.3,5482.00000000
2006/2007,Canada,Social and behavioural sciences,v62427123,1.4,4041.00000000
2007/2008,Canada,Social and behavioural sciences,v62427123,1.4,4165.00000000
2008/2009,Canada,Social and behavioural sciences,v62427123,1.4,4251.00000000
2009/2010,Canada,Social and behavioural sciences,v62427123,1.4,4431.00000000
2010/2011,Canada,Social and behavioural sciences,v62427123,1.4,4586.00000000
2011/2012,Canada,Social and behavioural sciences,v62427123,1.4,4656.00000000
2012/2013,Canada,Social and behavioural sciences,v62427123,1.4,4966.00000000
2013/2014,Canada,Social and behavioural sciences,v62427123,1.4,5116.00000000
2014/2015,Canada,Social and behavioural sciences,v62427123,1.4,5294.00000000
2015/2016,Canada,Social and behavioural sciences,v62427123,1.4,5424.00000000
2016/2017,Canada,Social and behavioural sciences,v62427123,1.4,5566.00000000
2006/2007,Canada,"Law, legal professions and studies",v62427124,1.5,7155.00000000
2007/2008,Canada,"Law, legal professions and studies",v62427124,1.5,7382.00000000
2008/2009,Canada,"Law, legal professions and studies",v62427124,1.5,8030.00000000
2009/2010,Canada,"Law, legal professions and studies",v62427124,1.5,8229.00000000
2010/2011,Canada,"Law, legal professions and studies",v62427124,1.5,8657.00000000
2011/2012,Canada,"Law, legal professions and studies",v62427124,1.5,9335.00000000
2012/2013,Canada,"Law, legal professions and studies",v62427124,1.5,9549.00000000
2013/2014,Canada,"Law, legal professions and studies",v62427124,1.5,10039.00000000
2014/2015,Canada,"Law, legal professions and studies",v62427124,1.5,10563.00000000
2015/2016,Canada,"Law, legal professions and studies",v62427124,1.5,10928.00000000
2016/2017,Canada,"Law, legal professions and studies",v62427124,1.5,11385.00000000
2006/2007,Canada,"Business, management and public administration",v62427125,1.6,4195.00000000
2007/2008,Canada,"Business, management and public administration",v62427125,1.6,4637.00000000
2008/2009,Canada,"Business, management and public administration",v62427125,1.6,4978.00000000
2009/2010,Canada,"Business, management and public administration",v62427125,1.6,5191.00000000
2010/2011,Canada,"Business, management and public administration",v62427125,1.6,5386.00000000
2011/2012,Canada,"Business, management and public administration",v62427125,1.6,5673.00000000
2012/2013,Canada,"Business, management and public administration",v62427125,1.6,6097.00000000
2013/2014,Canada,"Business, management and public administration",v62427125,1.6,6274.00000000
2014/2015,Canada,"Business, management and public administration",v62427125,1.6,6366.00000000
2015/2016,Canada,"Business, management and public administration",v62427125,1.6,6542.00000000
2016/2017,Canada,"Business, management and public administration",v62427125,1.6,6776.00000000
2006/2007,Canada,Physical and life sciences and technologies,v62427126,1.7,4270.00000000
2007/2008,Canada,Physical and life sciences and technologies,v62427126,1.7,4534.00000000
2008/2009,Canada,Physical and life sciences and technologies,v62427126,1.7,4679.00000000
2009/2010,Canada,Physical and life sciences and technologies,v62427126,1.7,4885.00000000
2010/2011,Canada,Physical and life sciences and technologies,v62427126,1.7,5049.00000000
2011/2012,Canada,Physical and life sciences and technologies,v62427126,1.7,5247.00000000
2012/2013,Canada,Physical and life sciences and technologies,v62427126,1.7,5335.00000000
2013/2014,Canada,Physical and life sciences and technologies,v62427126,1.7,5481.00000000
2014/2015,Canada,Physical and life sciences and technologies,v62427126,1.7,5701.00000000
2015/2016,Canada,Physical and life sciences and technologies,v62427126,1.7,5884.00000000
2016/2017,Canada,Physical and life sciences and technologies,v62427126,1.7,6048.00000000
2006/2007,Canada,"Mathematics, computer and information sciences",v62427127,1.8,4650.00000000
2007/2008,Canada,"Mathematics, computer and information sciences",v62427127,1.8,4746.00000000
2008/2009,Canada,"Mathematics, computer and information sciences",v62427127,1.8,4987.00000000
2009/2010,Canada,"Mathematics, computer and information sciences",v62427127,1.8,5299.00000000
2010/2011,Canada,"Mathematics, computer and information sciences",v62427127,1.8,5526.00000000
2011/2012,Canada,"Mathematics, computer and information sciences",v62427127,1.8,5781.00000000
2012/2013,Canada,"Mathematics, computer and information sciences",v62427127,1.8,6051.00000000
2013/2014,Canada,"Mathematics, computer and information sciences",v62427127,1.8,6245.00000000
